FZ,RL
1159.3,188.4
1169.92,188.4
1177.32,188.4
1174.62,188.4
1163.41,188.5
1149.13,188.4
1141.28,188.5
1131.34,188.5
1133.72,188.5
1138.93,188.5
1146.66,188.5
1159.85,188.6
1172.07,188.6
1181.26,188.6
1181.55,188.6
1172.3,188.6
1161.11,188.70000000000002
1146.8,188.70000000000002
1139.93,188.70000000000002
1133.91,188.79999999999998
1136.74,188.79999999999998
1146.53,188.79999999999998
1160.09,188.79999999999998
1174.27,188.70000000000002
1182.93,188.79999999999998
1185.9,188.79999999999998
1179.56,188.9
1166.8,188.9
1151.41,188.9
1139.44,189.0
1135.1,189.0
1136.1,189.0
1144.39,189.1
1157.72,189.0
1172.75,189.1
1183.83,189.1
1189.22,189.1
1182.28,189.1
1172.13,189.1
1154.35,189.1
1143.5,189.20000000000002
1138.15,189.20000000000002
1137.01,189.3
1144.1,189.3
1154.38,189.3
1168.24,189.4
1181.85,189.3
1188.21,189.4
1189.02,189.4
1173.41,189.4
1160.31,189.4
1145.83,189.5
1135.85,189.5
1133.34,189.5
1137.35,189.60000000000002
1149.52,189.60000000000002
1162.48,189.60000000000002
1178.69,189.7
1186.73,189.60000000000002
1187.56,189.7
1176.37,189.7
1161.43,189.7
1144.46,189.7
1135.04,189.7
1130.74,189.8
1133.58,189.8
1141.29,189.8
1155.82,189.89999999999998
1172.51,189.89999999999998
1181.33,189.89999999999998
1187.56,189.89999999999998
1179.99,189.89999999999998
1165.41,190.0
1148.07,190.0
1140.43,190.0
1131.31,190.0
1134.08,190.10000000000002
1140.4,190.10000000000002
1155.97,190.10000000000002
1173.94,190.2
1188.27,190.2
1190.71,190.2
1186.97,190.2
1172.39,190.2
1155.72,190.2
1143.47,190.2
1137.24,190.3
1135.73,190.39999999999998
1143.29,190.3
1157.19,190.39999999999998
1172.86,190.39999999999998
1186.38,190.5
1193.51,190.5
1188.82,190.5
1176.06,190.5
1162.22,190.5
1145.66,190.6
1137.89,190.7
1132.72,190.7
1139.59,190.7
1148.84,190.7
1165.45,190.7
1179.81,190.79999999999998
1191.6,190.79999999999998
1190.65,190.79999999999998
1177.75,190.79999999999998
1162.38,190.79999999999998
1143.55,190.9
1131.95,190.9
1129.0,191.0
1131.14,191.0
1139.79,191.0
1154.98,191.1
1170.91,191.1
1181.45,191.1
1181.28,191.1
1172.75,191.0
1153.29,191.1
1136.37,191.20000000000002
1125.25,191.20000000000002
1120.64,191.20000000000002
1118.92,191.20000000000002
1126.68,191.29999999999998
1139.3,191.29999999999998
1156.8,191.4
1170.2,191.29999999999998
1172.17,191.29999999999998
1167.8,191.29999999999998
1153.24,191.29999999999998
1136.94,191.4
1124.29,191.4
1117.18,191.5
1116.54,191.5
1118.72,191.5
1132.03,191.5
1146.31,191.5
1159.91,191.5
1165.29,191.6
1163.21,191.5
1151.68,191.6
1134.58,191.6
1119.27,191.6
1110.71,191.70000000000002
1108.4,191.70000000000002
1111.91,191.70000000000002
1118.55,191.70000000000002
1133.53,191.70000000000002
1143.43,191.8
1148.14,191.70000000000002
1144.31,191.8
1134.46,191.8
1115.44,191.70000000000002
1102.46,191.8
1092.71,191.8
1089.26,191.8
1091.9,191.8
1098.86,191.9
1111.95,191.9
1123.37,191.8
1132.37,191.9
1130.84,191.9
1122.39,191.9
1106.59,191.8
1091.09,191.8
1081.63,191.9
1079.24,191.9
1081.56,191.9
1089.21,191.9
1102.42,191.9
1113.18,191.9
1120.14,191.9
1119.52,191.9
1109.57,192.0
1094.95,191.9
1080.32,192.0
1073.66,191.9
1068.06,192.0
1071.89,191.9
1078.68,191.9
1086.74,191.9
1097.26,191.9
1103.48,192.0
1103.6,191.9
1096.29,191.9
1083.04,191.9
1068.29,191.9
1058.07,191.9
1054.52,192.0
1052.08,191.9
1057.89,191.9
1065.39,192.0
1075.28,191.9
1083.41,191.9
1087.26,191.9
1080.16,191.9
1067.75,191.9
1057.82,191.9
1044.92,191.9
1037.74,191.9
1033.05,191.9
1040.41,191.9
1046.16,191.9
1054.17,191.9
1061.85,191.9
1066.89,191.8
1063.1,191.9
1054.71,191.9
1042.99,191.8
1033.15,191.8
1025.66,191.9
1021.6,191.9
1022.15,191.70000000000002
1031.54,191.70000000000002
1040.1,191.70000000000002
1057.05,191.6
1065.52,191.6
1067.73,191.5
1059.31,191.5
1049.69,191.5
1035.25,191.5
1024.71,191.5
1019.97,191.5
1022.98,191.5
1026.88,191.4
1039.42,191.4
1054.55,191.4
1064.92,191.29999999999998
1069.4,191.29999999999998
1065.47,191.29999999999998
1056.25,191.29999999999998
1037.19,191.29999999999998
1024.67,191.20000000000002
1016.95,191.20000000000002
1013.69,191.20000000000002
1018.75,191.20000000000002
1029.16,191.1
1040.93,191.1
1054.52,191.1
1062.67,190.9
1064.59,191.0
1055.45,190.9
1039.78,190.9
1026.96,190.79999999999998
1016.83,190.79999999999998
1013.49,190.79999999999998
1013.93,190.79999999999998
1022.74,190.79999999999998
1036.23,190.7
1051.65,190.7
1062.77,190.6
1066.12,190.6
1059.97,190.6
1045.27,190.5
1030.96,190.6
1019.26,190.5
1012.69,190.5
1013.13,190.39999999999998
1020.05,190.39999999999998
1031.3,190.39999999999998
1047.85,190.3
1060.83,190.3
1064.43,190.2
1062.28,190.3
1050.3,190.2
1035.48,190.2
1020.85,190.2
1015.26,190.10000000000002
1011.71,190.10000000000002
1015.88,190.10000000000002
1027.45,190.0
1042.32,190.0
1058.28,189.89999999999998
1067.87,190.0
1065.85,190.0
1054.02,189.8
1038.39,189.89999999999998
1024.8,189.89999999999998
1014.62,189.8
1011.13,189.8
1017.39,189.8
1025.76,189.8
1040.35,189.7
1056.75,189.60000000000002
